MSA.FIPS.Code,MSA.Name,latitude,longitude,OVERALL.RANK,OVERALL.INDEX,GOAL.1.AVERAGE,%.of.population.living.below.the.federal.poverty.level,Per.Capita.Personal.Income,%.of.children.living.Below.Twice.the.poverty.Line,GOAL.2.AVERAGE,Food.insecurity.rate,Percent.of.population.that.is.obese,GOAL.3.AVERAGE,Infant.mortality.rate,Percentage.of.low.birth.weight.babies.,"Number.of.new.Syphilis,.Chlamydia.and.Gonorrhea.cases.diagnosed.per.100,000.population..","Number.of.diagnosed.incidences.of.all.types.of.diabetes.per.1,000.people..",Deaths.due.to.heart.attack,.Death.due.to.traffic.accidents,Percent.of.persons.with.health.insurance.coverage,Primary.Care.Physicians.Per.100000.People,GOAL.4.AVERAGE,School.enrollment,%.of.Population.Without.High.School.Degree,"%.of.3-4.year.olds.enrolled.in.school.(nursery,.pre-k,.kindergarden)",%.of.Population.with.an.Undergraduate.Degree,GOAL.5.AVERAGE,Median.earnings.gap,Rapes.known.to.law.enforcement,%.of.businesses.owned.by.women.,GOAL.6.AVERAGE,Normalized.Deficit.(Water.Stress).,GOAL.7.AVERAGE,Share.of.Low.Carbon.Energy.Generated.in.the.State,GOAL.8.AVERAGE,GDP.Growth,Percent.of.jobs.in.STEM.fields,Unemployment.rate,Disconnected.youth.(ages.16.to.24.not.in.school.and.not.working),GOAL.9.AVERAGE,Number.of.utility.patent.grants,Broadband.penetration,GOAL.10.AVERAGE,Gini.coefficient,Racial.Segregation,Absolute.Upward.Mobility,GOAL.11.AVERAGE,Housing.Affordability,Percent.of.households.living.in.overcrowded.housing,Use.of.sustainable.Transportation,Smart.Growth.America's.Sprawl.Index,Access.to.Parks,PM.2.5.Average.Levels.(Population.Weighted),Ozone.Levels.(8-Hr),GOAL.12.AVERAGE,"Toxic.release.of.air,.water.and.land.per.square.mile.(lbs)",GOAL.13.AVERAGE,Average.annual.household.carbon.footprint,GOAL.15.AVERAGE,Green.open.space.,Number.of.brownfield.and.superfund.sites,GOAL.16.AVERAGE,Violent.crime..Offences.known.to.law.enforcement,"Deaths.by.firearms.per.100,000.population"
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV ",39.129,-77.3784,11,58.44,74.87,77.44,,72.30,42.63,55.70,29.56,59.63,56.54,36.34,,71.64,64.16,74.09,51.64,62.99,56.39,36.23,61.59,27.74,100.00,55.07,40.11,77.70,47.40,19.62,19.62,86.61,86.61,66.61,16.82,83.95,100.00,65.68,35.67,12.29,59.04,40.31,25.20,29.17,66.58,66.52,65.92,75.76,77.88,63.60,79.99,51.48,51.01,97.90,97.90,39.47,39.47,61.90,37.88,85.91,73.35,75.22,71.48
49340,"Worcester, MA-CT ",42.2571,-71.8571,12,58.21,53.91,61.32,33.68,66.72,32.19,43.83,20.55,62.94,53.48,48.30,95.46,47.10,26.76,70.84,82.87,78.72,43.63,35.37,59.11,29.46,50.58,30.82,16.21,71.59,4.65,99.97,99.97,26.39,26.39,70.38,27.50,64.57,97.78,91.67,35.65,32.35,38.95,48.47,22.94,49.88,72.58,54.69,73.91,88.36,12.50,,35.61,65.46,52.32,99.29,99.29,53.77,53.77,62.34,,62.34,98.68,98.68,
39580,"Raleigh, NC ",35.7796,-78.6382,13,57.30,48.92,60.25,32.02,54.50,23.38,24.12,22.65,45.01,60.29,34.85,33.08,53.99,41.51,50.16,43.58,42.62,54.06,41.51,63.02,26.03,85.68,30.18,34.07,,26.29,99.91,99.91,47.36,47.36,85.03,68.95,88.38,98.85,83.94,53.19,51.88,54.49,37.93,23.21,72.28,18.28,46.44,82.16,81.37,2.88,35.18,12.15,54.42,56.89,98.40,98.40,52.90,52.90,55.52,22.93,88.10,81.30,74.33,88.28
41740,"San Diego-Carlsbad, CA ",33.1581,-117.3506,14,57.20,43.53,47.35,41.90,41.34,39.07,30.92,47.21,57.46,82.37,57.27,43.21,80.43,36.28,71.48,38.55,50.08,39.37,28.62,45.62,22.76,60.47,45.89,33.57,74.14,29.96,95.49,95.49,51.58,51.58,63.05,25.09,60.69,98.09,68.34,62.55,68.71,56.39,48.87,15.72,52.85,78.02,34.46,13.66,34.44,22.60,61.09,59.65,28.87,20.93,97.64,97.64,63.26,63.26,41.31,11.81,70.81,74.47,81.06,67.87
19780,"Des Moines-West Des Moines, IA ",41.5639,-93.7594,15,57.18,51.14,63.47,32.39,57.57,24.56,36.15,12.97,57.06,61.63,49.75,56.68,63.08,23.73,67.58,70.78,63.22,46.86,43.08,70.32,15.44,58.60,34.85,30.80,58.17,15.56,96.75,96.75,57.10,57.10,72.38,62.41,43.21,100.00,83.88,27.51,11.15,43.88,51.62,24.05,52.04,78.79,62.23,95.71,82.99,5.77,60.75,55.99,59.09,75.30,96.64,96.64,49.58,49.58,58.38,30.41,86.35,71.04,79.33,62.75
25540,"Hartford-West Hartford-East Hartford, CT ",41.6711,-72.5205,16,56.66,61.15,66.69,50.61,66.15,28.91,33.52,24.30,56.45,54.88,31.30,73.27,57.09,37.00,63.51,72.30,62.29,53.84,42.61,61.74,46.74,64.28,43.91,28.03,87.04,16.65,89.56,89.56,58.18,58.18,58.26,0.27,61.97,93.62,77.18,29.49,23.82,35.15,33.54,17.66,23.91,59.03,55.66,79.68,91.40,18.27,46.64,33.94,78.57,41.16,98.08,98.08,51.70,51.70,48.65,,48.65,82.45,85.60,79.29
14260,"Boise City, ID ",43.615,-116.2023,17,56.48,29.98,43.59,12.22,34.11,22.43,25.98,18.87,54.70,77.81,64.81,72.07,72.21,26.12,55.15,35.02,34.45,28.60,9.33,64.12,0.00,40.96,30.45,24.01,44.42,22.91,92.47,92.47,98.70,98.70,64.07,48.91,52.94,100.00,54.44,34.84,56.90,12.78,60.16,21.15,97.80,61.54,54.95,80.58,83.77,7.69,43.61,60.05,54.00,,95.46,95.46,56.46,56.46,54.32,10.16,98.47,69.55,60.53,78.57
38900,"Portland-Vancouver-Hillsboro, OR-WA ",45.6537,-122.5463,18,56.17,45.70,53.80,32.14,51.15,27.15,25.43,28.87,59.75,70.00,65.07,60.71,63.90,5.05,76.20,52.15,84.89,40.58,19.03,64.89,17.00,61.39,36.53,25.77,46.29,37.53,99.97,99.97,89.42,89.42,51.09,12.24,57.83,99.36,34.93,44.93,34.23,55.63,45.05,21.51,64.08,49.57,68.01,57.44,74.11,49.52,66.87,84.29,60.70,83.13,97.07,97.07,11.41,11.41,56.43,24.99,87.86,69.55,64.50,74.61
35620,"New York-Newark-Jersey City, NY-NJ-PA ",40.7128,-74.006,19,55.64,52.46,46.28,64.26,46.83,34.89,36.80,32.98,58.73,79.72,33.23,49.70,53.66,57.16,83.48,48.62,64.27,48.22,42.30,42.64,42.23,65.72,53.62,36.84,96.55,27.46,56.15,56.15,68.09,68.09,53.45,28.74,33.00,95.85,56.19,24.86,14.18,35.53,24.92,0.00,0.00,74.76,60.87,33.11,41.09,100.00,66.59,69.92,54.52,,93.85,93.85,60.04,60.04,64.19,,64.19,80.27,95.72,64.83
40380,"Rochester, NY ",43.1566,-77.6088,20,54.74,37.77,46.82,23.63,42.87,23.75,30.09,17.41,50.42,37.74,38.84,37.33,49.87,34.65,71.63,70.28,63.03,40.89,27.94,60.88,25.56,49.20,39.79,31.81,57.33,30.23,84.68,84.68,68.09,68.09,52.83,0.00,61.19,92.91,57.23,45.78,56.40,35.15,30.03,21.11,22.70,46.27,55.56,96.82,96.64,21.15,23.11,34.61,56.08,60.47,95.50,95.50,58.60,58.60,60.80,31.38,90.23,76.61,79.19,74.02
