name,latitude,longitude,score,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG15,SDG16
"Pittsburgh, PA ",40.4406,-79.9959,50.85,49.18,21.81,52.51,44.85,37.81,92.76,49.8,69.59,20.9,39.92,53.39,81.28,50.55,38.37,60.03
"Urban Honolulu, HI ",21.315603,-157.8581,50.83,59.44,34.08,60.85,36.1,48.98,,7.43,58.61,22.58,66.18,52.86,65.55,61.92,53.41,83.68
"Syracuse, NY ",43.0481,-76.1474,50.75,34.12,22.89,52.25,35.73,30.67,58.21,68.09,57.38,16.16,29.47,63.38,93.96,58.54,61.22,79.13
"Denver-Aurora-Lakewood, CO ",39.5143,-104.8455,50.44,54.87,40.96,55.55,45.87,29.48,91.9,21.64,70.61,34.72,33.85,62.79,96.29,0,60.13,58
"Palm Bay-Melbourne-Titusville, FL ",28.2639,-80.7214,50.07,31.02,19.49,43.59,36.45,40.91,100,11.01,60.72,44.37,38.4,60.23,97.83,50.62,82.94,33.53
"Omaha-Council Bluffs, NE-IA ",41.2904,-95.8987,49.88,50.42,21.12,48.54,40.11,36.6,83.56,44.53,70.75,19.97,39.77,60.48,91.31,8.83,68.31,63.97
"Virginia Beach-Norfolk-Newport News, VA-NC ",36.7862,-76.5488,49.79,41.07,16.32,39.95,33.49,46.4,87.06,43.88,50.95,23.42,35.33,55.79,89.46,51.32,78.99,53.47
"Colorado Springs, CO ",38.8631,-104.8455,49.38,44.88,30.59,48.06,40.94,18.13,99.97,21.64,61.06,39.69,52.3,65.7,62.58,50.42,60.47,44.23
"Tucson, AZ ",32.2226,-110.9747,49.34,15.8,24.44,52.48,28.24,40.53,99.99,47.15,44.87,38.31,41.51,55.71,94.23,54.82,69.92,32.12
"Phoenix-Mesa-Scottsdale, AZ ",33.4982,-112.2384,49.11,25.62,20.47,48.16,23.87,41.98,95.4,47.15,49.74,28.9,41.84,44.77,98.09,54.99,69.54,46.08
"Scranton?Wilkes-Barre?Hazleton, PA ",40.9584,-75.9746,48.9,28.09,20.35,47.12,29.22,12.38,99.71,49.8,55.66,3.1,54.4,59.37,99.68,54.38,63.08,57.21
"Akron, OH ",41.202,-81.4279,48.86,36.55,12.18,44.02,38.17,25.95,99.91,13.57,68.58,19.75,25.61,59.41,97.61,73.22,48.19,70.22
"Nashville-Davidson?Murfreesboro?Franklin, TN ",36.1299,-86.6611,48.8,42.15,16.91,37.83,35.47,36.99,91.91,56.33,71.14,19.41,26.07,38.93,93.49,50.72,79.16,35.51
"Grand Rapids-Wyoming, MI ",42.9288,-85.4376,48.53,39.46,27.22,53.15,37.24,6.44,94.9,40.84,68.88,24.18,30.18,49.86,88.12,49.41,43.26,74.75
"Charleston-North Charleston, SC ",33.1261,-80.0088,48.07,34.37,18.18,35.05,38.09,45.31,100,77.34,61.78,12.91,34.43,56.86,81.79,33.65,47.9,43.36
"Wichita, KS ",37.6872,-97.3301,47.88,34.54,15.11,41.07,33.11,17.64,95.83,56.36,60.14,18.72,37.92,58.46,95.87,47.03,69.48,36.88
"Dallas-Fort Worth-Arlington, TX ",32.7079,-96.9209,47.44,38.3,12.43,36.4,31,42.28,92.32,22.56,69.08,28.95,33.48,48.16,98.11,38.65,59.11,60.71
"Orlando-Kissimmee-Sanford, FL ",28.5828,-81.3399,47.2,23.6,23.39,39.47,36.22,47.38,99.99,11.01,57.73,25.34,32.9,52.35,96.37,56.8,55.76,49.7
"El Paso, TX ",31.804,-106.2051,46.9,0.56,35.94,35.16,13.55,42.17,93.83,22.56,39.81,11.32,64.13,49.71,99.04,64.16,57.12,74.46
"Atlanta-Sandy Springs-Roswell, GA ",33.8498,-84.4383,46.89,34.91,17.41,38.42,42.93,61.54,64.63,36.01,58.25,29.63,16.61,39.98,95.01,37.22,79.19,51.59
"Providence-Warwick, RI-MA ",41.43,-71.25,46.8,43.47,25.37,54.62,33.98,34.54,93.92,0,54.41,22.68,44.23,57.66,98.48,55.65,0,83.06
"Los Angeles-Long Beach-Anaheim, CA ",34.0522,-118.2437,46.74,35.66,37.74,54.55,32.75,52.7,18.17,51.58,59.23,29.51,31.55,29.57,90.81,66.32,48.72,62.27
"Riverside-San Bernardino-Ontario, CA ",34.9592,-116.4194,46.53,17.33,32.25,42.4,12.36,52.15,49.97,51.58,41.24,22.65,47.78,17.36,99.53,61.6,85.59,64.13
"Greenville-Anderson-Mauldin, SC ",34.4651,-82.182,46.51,26.53,19.09,35.21,25.53,13.95,99.96,77.34,57.09,21.74,31.61,41.84,96.79,54.02,85.25,11.74
"Miami-Fort Lauderdale-West Palm Beach, FL ",26.3014,-80.6327,46.44,31.16,35.11,45.19,37.35,60.32,,11.01,51.8,15.72,19.99,59.62,97.92,57.33,78.07,49.63
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",39.8373,-75.1545,45.96,51.6,22.99,48.1,43.83,37.62,65.3,49.8,60.12,25.75,23.23,61.22,81.14,37.93,28.84,51.95
"Albuquerque, NM ",35.0844,-106.6504,45.86,17.97,25.8,46.43,29.97,41.91,99.82,10.07,47.13,17.32,47.94,60.7,100,54.26,74.3,14.19
"Columbus, OH ",39.9389,-83.0791,45.24,38.57,12.28,40.33,40.65,31.27,97.91,13.57,70.94,27.68,20.54,52.68,95.58,15.18,59.8,61.62
"Cincinnati, OH-KY-IN ",39.9389,-83.0791,45.08,42.65,14.29,38.65,37.26,34.78,99.03,13.57,59.85,27.86,15.53,48.11,86.96,24.79,65.62,67.27
"Cape Coral-Fort Myers, FL ",26.653,-81.7787,44.96,24.98,26.53,43.45,26.48,49.47,99.98,11.01,54.8,16.66,23.71,58.04,98.45,45.68,45.34,49.88
"Dayton, OH ",39.762,-84.3542,44.74,27.18,4.91,38.2,37.86,26.2,99.11,13.57,61.35,23.37,16.33,59.52,95.13,49.26,61.11,58.06
"Richmond, VA ",37.5407,-77.436,44.69,48.55,26.47,44.08,36.61,44.23,90.79,43.88,56.97,17.67,28.88,46.19,79.83,2.96,45.99,57.19
"San Antonio-New Braunfels, TX ",29.3222,-98.6601,44.57,28.37,28.49,31.66,22.37,28.67,99.43,22.56,67.13,17.57,41.28,46.26,95.68,20.47,70.75,47.91
"Columbia, SC ",34.0007,-81.0348,44.51,28.1,8.61,19.66,31.28,43.16,98.62,77.34,59.2,13.45,26.55,46.22,83.06,31.41,66.27,34.78
"Knoxville, TN ",35.9606,-83.9207,44.25,28.07,15.87,37.41,22.66,36.96,99.92,56.33,50.19,16.17,25.13,41.46,79.5,49.66,63.15,41.3
"Greensboro-High Point, NC ",36.09,-79.8297,44.23,18.84,5.11,24.65,22.82,40.9,99.94,47.36,41.1,2.75,20.25,46.74,96.57,54.68,91.21,50.45
"Tampa-St. Petersburg-Clearwater, FL ",28.2743,-82.3886,43.89,30.55,17.23,38.93,31.69,56.39,56.33,11.01,59.1,21.61,27.57,59.86,87.98,52.86,52.32,54.98
