msa,year,value
"Hamilton, Ontario",2001,6.1
"Hamilton, Ontario",2002,6.7
"Hamilton, Ontario",2003,6.2
"Hamilton, Ontario",2004,6.3
"Hamilton, Ontario",2005,5.6
"Hamilton, Ontario",2006,6.0
"Hamilton, Ontario",2007,6.0
"Hamilton, Ontario",2008,6.1
"Hamilton, Ontario",2009,8.5
"Hamilton, Ontario",2010,7.6
"Hamilton, Ontario",2011,6.6
"Hamilton, Ontario",2012,6.6
"Hamilton, Ontario",2013,6.4
"Hamilton, Ontario",2014,5.8
"Hamilton, Ontario",2015,5.5
"Hamilton, Ontario",2016,6.2
"Hamilton, Ontario",2017,5.0
"Hamilton, Ontario",2018,4.9
"Hamilton, Ontario",2019,4.3
"Hamilton, Ontario",2020,8.8
"Kelowna, British Columbia 5 (map)",2001,6.5
"Kelowna, British Columbia 5 (map)",2002,9.7
"Kelowna, British Columbia 5 (map)",2003,8.6
"Kelowna, British Columbia 5 (map)",2004,4.9
"Kelowna, British Columbia 5 (map)",2005,5.5
"Kelowna, British Columbia 5 (map)",2006,6.0
"Kelowna, British Columbia 5 (map)",2007,4.5
"Kelowna, British Columbia 5 (map)",2008,5.0
"Kelowna, British Columbia 5 (map)",2009,8.6
"Kelowna, British Columbia 5 (map)",2010,8.0
"Kelowna, British Columbia 5 (map)",2011,7.7
"Kelowna, British Columbia 5 (map)",2012,6.5
"Kelowna, British Columbia 5 (map)",2013,6.6
"Kelowna, British Columbia 5 (map)",2014,4.6
"Kelowna, British Columbia 5 (map)",2015,5.6
"Kelowna, British Columbia 5 (map)",2016,8.0
"Kelowna, British Columbia 5 (map)",2017,5.4
"Kelowna, British Columbia 5 (map)",2018,4.8
"Kelowna, British Columbia 5 (map)",2019,4.1
"Kelowna, British Columbia 5 (map)",2020,7.2
"Kingston, Ontario",2001,6.4
"Kingston, Ontario",2002,6.8
"Kingston, Ontario",2003,6.3
"Kingston, Ontario",2004,6.4
"Kingston, Ontario",2005,6.2
"Kingston, Ontario",2006,6.2
"Kingston, Ontario",2007,5.3
"Kingston, Ontario",2008,5.7
"Kingston, Ontario",2009,6.2
